,mean_loss,std_loss,min_loss,max_loss,count,cv
2O3A_B,0.616295208533605,0.030587438163183243,0.5773299336433411,0.7241775393486023,30,0.04963114711854098
1ZV5_A,0.6266848385334015,0.043561828419539414,0.5547853708267212,0.7241775393486023,30,0.06951154031663656
3QHY_B,0.619117804368337,0.04024403450206325,0.5692828297615051,0.7327466607093811,30,0.06500222448476144
2OVI_D,0.631566333770752,0.0369757982187314,0.5663515329360962,0.7327466607093811,30,0.05854618310315603
2G9W_A,0.6144803484280904,0.03867689206014066,0.5666337013244629,0.7327466607093811,30,0.06294243934583178
2YQ7_A,0.6190029720465342,0.037892264901044435,0.56025230884552,0.7327466607093811,30,0.0612149967160349
2H0Q_B,0.6247529606024425,0.03641469515139794,0.5745790004730225,0.7207708954811096,30,0.058286550761253934
3U1D_A,0.6233516812324524,0.029782511158667684,0.5774202346801758,0.7190371751785278,30,0.04777802331387563
3M85_E,0.6266266822814941,0.029720107159927844,0.5812869668006897,0.7190371751785278,30,0.047428729098670803
1NKQ_F,0.6162071208159129,0.02342055082537652,0.5870027542114258,0.7190371751785278,30,0.038007595229288545
3QHY_A,0.6266899327437083,0.032404779690269614,0.5706767439842224,0.7269380688667297,30,0.05170783508265148
3GBN_L,0.6216826657454173,0.039849778770802674,0.5609714984893799,0.7269380688667297,30,0.06409987115053549
3FVM_A,0.6094463765621185,0.03171310901557831,0.5592113733291626,0.7269380688667297,30,0.05203593004272447
4IU3_A,0.6278921286265056,0.03141075940243526,0.5645011067390442,0.7269380688667297,30,0.050025725710474055
1C9P_A,0.6082631369431813,0.034202011562127196,0.5442513227462769,0.721065104007721,30,0.056228973095441837
1PZN_D,0.6387864569822947,0.031240660178260157,0.5897446274757385,0.721065104007721,30,0.04890626568046676
1Y33_E,0.6250741203625997,0.03396193327606991,0.5659689903259277,0.721065104007721,30,0.05433264979258605
3BL4_A,0.627479883035024,0.034305952469927986,0.5646700263023376,0.721065104007721,30,0.05467259333318441
1XX7_B,0.6086538990338644,0.03316840548010371,0.5609714984893799,0.7264161705970764,30,0.05449468989314449
3D5N_H,0.6148581326007843,0.03214028394392373,0.5663458704948425,0.7264161705970764,30,0.05227268249339691
1B2U_A,0.6346229096253713,0.04373358340436766,0.5724619626998901,0.7264161705970764,30,0.06891270822571523
2QF3_C,0.6477795958518981,0.03468971838067654,0.6028212308883667,0.7264161705970764,30,0.05355173056208404
2ZCL_H,0.6109887679417928,0.03415852865290485,0.564937949180603,0.7259777784347534,30,0.05590696661736184
1MW5_B,0.6241623858610789,0.03185850671846259,0.5682958960533142,0.7259777784347534,30,0.0510420163728889
2VGL_M,0.6549662988761376,0.021601560881042422,0.6194506287574768,0.7259777784347534,29,0.032981179211981945
